Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
530,0.1085,-136.7387,5.6326,170.1872,5.5502,0.9600,-0.7576
520,-0.9569,-133.5803,3.7106,107.8090,1.1349,3.5328,0.3711
510,1.0383,-139.7592,7.2310,284.8616,-1.8547,-6.9891,0.8858
500,4.6487,-133.0109,8.5157,58.5609,-4.4417,7.2656,1.0311
490,8.7035,-141.4265,10.3426,293.0540,-4.0502,-9.5166,1.0353
480,12.1660,-138.7811,4.8236,33.9463,-4.0015,2.6936,0.7764
470,13.6177,-141.8797,3.7314,293.0593,-1.4615,-3.4333,0.5624
460,13.8478,-150.2147,9.0168,269.6864,0.0493,-9.0167,-0.8318
450,13.4390,-149.3727,1.0184,114.4134,0.4209,0.9274,0.4556
440,12.1127,-141.6302,8.5382,97.5795,1.1262,8.4636,1.0016
430,14.3310,-130.9895,11.7915,78.2329,-2.4047,11.5437,1.0755
420,5.2509,-126.7348,11.1461,150.4174,9.6931,5.5026,1.4315
410,-7.4486,-122.1142,15.0639,154.2855,13.5721,6.5360,1.7573
400,-12.9918,-114.5695,10.3122,125.0849,5.9273,8.4385,-0.9451
390,-12.0261,-111.6077,3.3936,71.8919,-1.0548,3.2255,0.3335
380,-8.0877,-103.7914,9.6245,64.4277,-4.1544,8.6817,0.9672
370,-4.1332,-98.0611,7.7208,56.7153,-4.2371,6.4542,0.7772
360,-0.5888,-88.5567,11.2834,70.9394,-3.6848,10.6647,1.0601
350,2.7757,-74.9023,15.6503,77.0845,-3.4980,15.2543,1.4134
340,7.0330,-61.2876,15.8238,72.2523,-4.8235,15.0707,-1.4350
330,12.6253,-46.9751,16.8858,67.2254,-6.5366,15.5693,-1.5952
320,14.6056,-31.2903,17.1136,86.9798,-0.9017,17.0898,1.6143
310,28.3745,-33.0317,15.4327,352.4924,-15.3004,-2.0164,1.3893
300,34.5367,-29.8512,7.4943,23.5988,-6.8675,3.0002,0.7029
290,36.3196,-21.6368,7.7108,74.8472,-2.0156,7.4427,0.8714
280,37.5404,-12.0651,8.6252,80.8044,-1.3784,8.5144,-0.9832
270,40.6076,-15.7245,4.6545,313.5067,-3.2044,-3.3759,-0.6546
260,44.6182,-14.9996,4.5064,4.4865,-4.4926,0.3525,0.7804
250,45.2032,-14.2243,0.8932,42.9617,-0.6536,0.6087,-0.1282
240,42.8548,-20.3335,5.5428,238.7816,2.8728,-4.7402,-0.5356
230,40.4195,-29.3336,7.9586,246.4363,3.1816,-7.2950,-0.7287
220,41.8879,-36.5033,6.2261,281.7561,-1.2685,-6.0955,-0.5995
210,45.3204,-44.1518,7.2494,297.6538,-3.3646,-6.4213,-0.7129
200,47.7073,-51.5551,6.2597,291.8414,-2.3288,-5.8103,-0.5727
190,54.6454,-49.3322,7.8767,12.5127,-7.6896,1.7065,0.7098
180,59.0055,-41.1830,6.9349,51.0941,-4.3554,5.3966,0.7380
170,59.2006,-28.4447,7.2766,96.6406,0.8415,7.2278,0.8695
160,62.8898,-27.4423,4.1425,9.2742,-4.0883,0.6676,0.4586
150,66.2220,-24.3026,4.0011,24.9430,-3.6279,1.6873,0.4653
140,69.9796,-1.7854,10.1670,78.6195,-2.0062,9.9671,0.9946
130,71.6529,-10.6288,3.7278,296.1570,-1.6433,-3.3460,0.3468
120,75.6672,-16.7992,4.8629,334.5179,-4.3899,-2.0922,0.4717
110,77.6622,-24.9026,3.0386,314.5583,-2.1320,-2.1651,-0.4335
100,73.2127,-46.1708,7.6684,221.8645,5.7109,-5.1177,0.7595
90,74.0044,-44.6756,0.9990,31.9270,-0.8479,0.5283,-0.6364
80,74.7203,-42.9718,0.9474,37.0347,-0.7563,0.5706,-0.7117
70,74.8380,-45.8656,0.8564,281.3818,-0.1690,-0.8396,-0.7988
60,73.5562,-49.1407,1.7378,213.5706,1.4479,-0.9609,-0.1677
50,71.6434,-62.0097,4.7711,237.1219,2.5900,-4.0069,0.4361
40,70.1243,-78.4175,6.1941,246.8898,2.4312,-5.6970,0.5603
30,71.1639,-84.9459,2.6705,293.0472,-1.0455,-2.4573,0.2591
20,72.1430,-90.4698,2.2202,297.3089,-1.0186,-1.9727,0.2291
10,72.4822,-100.7507,3.4933,271.7772,-0.1083,-3.4916,0.3291
0,72.4600,-113.9000,4.4000,263.6274,0.4884,-4.3728,0.3977
