Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth,V colat (cm/yr),V lon (cm/yr),Ang V (�/Ma)
530,-81.0853,116.2651,1.7870,219.9777,1.3693,-1.1481,0.3711
520,-82.2118,108.3695,7.2423,193.9494,7.0287,-1.7459,0.8858
510,-88.1336,67.0701,8.2027,216.3924,6.6029,-4.8667,1.0311
500,-83.9464,-61.5532,13.2324,330.7987,-11.5507,-6.4558,1.2745
490,-72.5047,-79.6040,13.2324,353.1762,-13.1386,-1.5722,1.2745
480,-60.6433,-81.4998,5.2157,6.9976,-5.1769,0.6354,0.4780
470,-55.9844,-80.5491,1.9179,23.4598,-1.7593,0.7635,-0.3761
460,-54.3798,-79.4513,3.9919,91.8305,0.1275,3.9899,0.3813
450,-54.2972,-73.3000,5.5110,94.2082,0.4044,5.4961,0.4970
440,-54.3436,-64.8071,5.5110,86.8621,-0.3017,5.5027,0.4970
430,-53.7600,-56.4276,15.7686,63.9036,-6.9363,14.1611,1.4315
420,-45.7295,-38.2485,18.2956,50.2609,-11.6963,14.0687,1.7573
410,-33.5398,-23.8500,10.5021,67.6127,-3.9999,9.7105,-0.9451
400,-29.4983,-13.8419,2.7225,110.0727,0.9344,2.5571,0.3335
390,-30.3568,-11.1995,7.0590,121.9981,3.7405,5.9865,0.9672
380,-33.9045,-4.9960,4.9326,137.7208,3.6495,3.3184,0.7772
370,-37.2931,-1.4874,6.9375,117.0493,3.1549,6.1786,1.0601
360,-40.3306,5.4919,9.2340,100.8868,1.7440,9.0678,1.4134
350,-42.2102,16.2311,8.2741,80.5113,-1.3640,8.1609,-1.4350
340,-41.3496,26.1182,9.3482,66.1745,-3.7762,8.5515,-1.5952
330,-38.4304,36.3623,12.4729,133.2792,8.5508,9.0805,1.6143
320,-46.4383,46.9811,12.4119,291.1395,-4.4762,-11.5767,1.3893
310,-40.8501,33.6290,3.3993,340.3870,-3.2021,-1.1410,0.7029
300,-37.9175,32.5340,6.7543,77.5984,-1.4506,6.5967,0.8714
290,-36.7024,40.0066,8.1692,83.1854,-0.9693,8.1114,-0.9832
280,-35.9056,49.0576,7.2470,6.2750,-7.2036,0.7921,-0.6546
270,-29.4356,49.9170,7.5077,30.5109,-6.4681,3.8117,0.7804
260,-23.6893,53.8649,1.0866,58.3332,-0.5705,0.9248,-0.1282
250,-23.1802,54.7727,3.9410,356.5273,-3.9337,-0.2387,-0.5356
240,-19.6565,54.4138,6.2982,331.6471,-5.5427,-2.9910,-0.7287
230,-14.7671,51.4351,6.6676,332.2312,-5.8997,-3.1065,-0.5995
220,-9.4459,48.6217,7.2278,337.2561,-6.6658,-2.7944,-0.7129
210,-3.3896,46.2667,5.7176,326.0869,-4.7449,-3.1900,-0.5727
200,0.9372,43.4985,2.2135,164.1610,2.1294,0.6041,0.7098
190,-1.0035,43.9263,6.5874,189.4626,6.4978,-1.0830,0.7380
180,-6.7968,42.7232,9.4627,192.4314,9.2409,-2.0371,0.8695
170,-15.0617,40.6980,3.4575,265.1733,0.2909,-3.4452,0.4586
160,-15.2091,37.4845,3.5384,256.6925,0.8145,-3.4434,0.4653
150,-15.8253,34.2485,5.8567,215.4736,4.7696,-3.3988,0.9946
140,-19.8390,30.6819,3.4748,333.9871,-3.1227,-1.5239,0.3468
130,-17.0462,29.2120,5.0916,324.6751,-4.1542,-2.9440,0.4717
120,-13.2714,26.5355,4.8240,299.2410,-2.3564,-4.2093,-0.4335
110,-11.1305,22.6803,3.8256,293.8995,-1.5499,-3.4976,0.7595
100,-9.9099,19.4149,7.0529,255.0057,1.8247,-6.8128,-0.6364
90,-11.4565,13.1620,7.9015,257.1544,1.7567,-7.7037,-0.7117
80,-12.9146,6.0547,8.8442,262.9849,1.0801,-8.7780,-0.7988
70,-13.8143,-2.0593,0.6939,229.3394,0.4522,-0.5264,-0.1677
60,-14.2264,-2.5414,2.2989,16.6371,-2.2026,0.6582,0.4361
50,-12.2288,-2.0048,4.7532,337.5719,-4.3937,-1.8135,0.5603
40,-8.3309,-3.7752,2.8478,317.8323,-2.1108,-1.9118,0.2591
30,-6.4252,-5.4962,2.4593,309.8569,-1.5761,-1.8879,0.2291
20,-4.9978,-7.1909,3.6620,324.5924,-2.9847,-2.1217,0.3291
10,-2.3126,-9.0954,4.4002,335.8227,-4.0142,-1.8021,0.3977
0,1.3000,-10.7000,0.0000,270.0000,0.0000,0.0000,0.0000
